N°,Teléfono (marca/modelo),App Luz,App Sonido,Apps WiFi,Fecha,Hora,Biblioteca,Localidad,Dirección/Referencia,Tipo de espacio,Ocupación (personas),Evento inusual (S/N),Observaciones,Lux_1,Lux_2,Lux_3,Lux_promedio,dBA_1,dBA_2,dBA_3,dBA_prom,Bajada_1 (Mbps),Bajada_2 (Mbps),Bajada_3 (Mbps),Bajada_Mediana,Subida_1 (Mbps),Subida_2 (Mbps),Subida_3 (Mbps),Subida_mediana,archivo_fuente,hoja_fuente,Hora_dt,Franja,Lux_umbral,Cumple_Luz,Cumple_Ruido,Cumple_WiFi,Indice_Compuesto,Indice_Ponderado
1,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,09:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Lectura,18.0,N,Condiciones normales,540.0,548.0,547.0,545.0,33.0,35.0,34.0,34.0,22.6,22.4,22.1,22.4,18.3,18.1,17.9,18.1,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 09:00:00.000,Manana,500,True,True,True,100.0,100.0
2,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,09:30:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Lectura,20.0,N,Ambiente silencioso,555.0,560.0,559.0,558.0,35.0,37.0,36.0,36.0,21.9,21.7,21.5,21.7,18.0,17.9,17.6,17.9,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 09:30:00.000,Manana,500,True,True,True,100.0,100.0
3,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,10:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Lectura,22.0,N,Flujo moderado,530.0,535.0,531.0,532.0,34.0,36.0,35.0,35.0,21.2,20.9,20.5,20.9,17.0,16.8,16.5,16.8,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 10:00:00.000,Manana,500,True,True,True,100.0,100.0
4,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,13:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Lectura,35.0,N,Alta ocupación,508.0,512.0,510.0,510.0,41.0,43.0,42.0,42.0,17.5,17.3,16.8,17.3,14.5,14.2,13.8,14.2,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 13:00:00.000,Tarde,500,True,False,True,66.66666666666666,60.00000000000001
5,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,13:30:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Lectura,38.0,S,Grupo conversando,495.0,500.0,499.0,498.0,44.0,46.0,45.0,45.0,16.0,15.6,15.1,15.6,13.3,12.9,12.4,12.9,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 13:30:00.000,Tarde,500,False,False,True,33.33333333333333,20.0
6,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,14:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Lectura,40.0,S,Congestión red,503.0,507.0,505.0,505.0,46.0,48.0,47.0,47.0,15.2,14.8,14.3,14.8,12.7,12.3,11.9,12.3,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 14:00:00.000,Tarde,500,True,False,True,66.66666666666666,60.00000000000001
7,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,17:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Lectura,28.0,N,Condición estable,518.0,522.0,520.0,520.0,38.0,40.0,39.0,39.0,19.4,19.2,18.9,19.2,15.9,15.7,15.4,15.7,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 17:00:00.000,Tarde-noche,500,True,True,True,100.0,100.0
8,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,17:30:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Lectura,30.0,N,Flujo medio,510.0,514.0,512.0,512.0,40.0,42.0,41.0,41.0,18.0,17.8,17.5,17.8,15.2,14.9,14.6,14.9,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 17:30:00.000,Tarde-noche,500,True,False,True,66.66666666666666,60.00000000000001
9,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,18:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Lectura,26.0,N,Ambiente controlado,532.0,536.0,534.0,534.0,37.0,39.0,38.0,38.0,20.6,20.4,20.1,20.4,16.8,16.5,16.2,16.5,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 18:00:00.000,Tarde-noche,500,True,True,True,100.0,100.0
10,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,09:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Estanterías,12.0,N,Zona poco concurrida,223.0,227.0,225.0,225.0,32.0,34.0,33.0,33.0,18.8,18.6,18.3,18.6,15.0,14.8,14.5,14.8,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 09:00:00.000,Manana,200,True,True,True,100.0,100.0
11,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,09:30:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Estanterías,15.0,N,Condición estable,235.0,240.0,238.0,238.0,34.0,36.0,35.0,35.0,18.1,17.9,17.6,17.9,14.4,14.1,13.9,14.1,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 09:30:00.000,Manana,200,True,True,True,100.0,100.0
12,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,10:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Estanterías,14.0,N,Iluminación aceptable,208.0,212.0,210.0,210.0,33.0,35.0,34.0,34.0,16.6,16.3,16.0,16.3,14.0,13.7,13.4,13.7,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 10:00:00.000,Manana,200,True,True,True,100.0,100.0
13,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,13:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Estanterías,28.0,N,Ocupación media,203.0,207.0,205.0,205.0,43.0,45.0,44.0,44.0,13.6,13.4,13.1,13.4,11.2,10.9,10.6,10.9,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 13:00:00.000,Tarde,200,True,False,True,66.66666666666666,60.00000000000001
