variable,biblioteca_a,biblioteca_b,p_ajustada,cliffs_delta
Lux_promedio,Biblioteca Pública Las Ferias,Virgilio Barco Bibloteca,1.2936593689144856e-52,-0.9955555555555555
Lux_promedio,Biblioteca Pública del Deporte - CEFE Chapinero,Virgilio Barco Bibloteca,9.483151579510852e-39,-1.0
Lux_promedio,Gabriel Garcia Marquez - Tunal,Virgilio Barco Bibloteca,1.5518512998555468e-34,-0.991
Lux_promedio,Biblioteca Julio Mario Santo Domingo,Virgilio Barco Bibloteca,2.440456782716083e-31,-0.9868
Lux_promedio,Biblioteca Luis Angel Arango,Biblioteca Pública del Deporte - CEFE Chapinero,4.867381948134751e-24,1.0
Lux_promedio,Biblioteca Pública del Deporte - CEFE Chapinero,Julio Mario Santo Domingo,4.892887976093619e-24,-1.0
Lux_promedio,Julio Mario Santo Domingo,Virgilio Barco Bibloteca,2.817895303215469e-21,-1.0
Lux_promedio,Biblioteca el Parque,Virgilio Barco Bibloteca,5.493434663895349e-21,-1.0
Lux_promedio,Biblioteca el Tintal,Virgilio Barco Bibloteca,5.493434663895349e-21,-1.0
Lux_promedio,Biblioteca Casa Gómez Campuzano,Biblioteca Pública del Deporte - CEFE Chapinero,3.602139497624368e-20,1.0
Lux_promedio,Biblioteca Pública Virgilio Barco,Virgilio Barco Bibloteca,7.942216718528197e-19,-1.0
Lux_promedio,Biblioteca Casa Gómez Campuzano,Virgilio Barco Bibloteca,3.60361284157575e-18,-1.0
Lux_promedio,Biblioteca Pública del Deporte - CEFE Chapinero,Biblioteca el Tintal,2.8167105646938666e-16,-0.8327891156462585
Lux_promedio,Biblioteca Luis Angel Arango,Gabriel Garcia Marquez - Tunal,9.85601011322723e-16,0.8381666666666666
Lux_promedio,Biblioteca Luis Angel Arango,Biblioteca el Parque,1.178079772927507e-15,1.0
Lux_promedio,Biblioteca Luis Angel Arango,Biblioteca Pública Las Ferias,9.278525000352961e-15,0.7182222222222222
Lux_promedio,Biblioteca Pública Bosa,Virgilio Barco Bibloteca,1.4034370271664183e-14,-1.0
Lux_promedio,Biblioteca Pública del Deporte - CEFE Chapinero,Parque vertical CEFE,1.7348636796475037e-14,-1.0
Lux_promedio,Biblioteca el Parque,Julio Mario Santo Domingo,2.1367568584996645e-14,-0.9608163265306122
Lux_promedio,Virgilio Barco,Virgilio Barco Bibloteca,2.6515456736221165e-14,-0.7763333333333333
Lux_promedio,Biblioteca Casa Gómez Campuzano,Biblioteca el Parque,7.575663524761251e-14,1.0
Lux_promedio,Luis Ángel Arango,Virgilio Barco Bibloteca,2.1060815980421328e-13,-1.0
Lux_promedio,Parque vertical CEFE,Virgilio Barco Bibloteca,2.1060815980421328e-13,-1.0
Lux_promedio,Biblioteca Pública Bosa,Biblioteca Pública del Deporte - CEFE Chapinero,4.507878593766948e-13,0.9097777777777778
Lux_promedio,FRANCISCO JOSE DE CALDAS,Virgilio Barco Bibloteca,1.2771407711121071e-12,-0.932
Lux_promedio,Biblioteca Julio Mario Santo Domingo,Biblioteca Luis Angel Arango,1.6266561320733346e-12,-0.7716
Lux_promedio,Biblioteca Luis Angel Arango,Biblioteca Pública Virgilio Barco,2.115497771116357e-12,0.9295238095238095
Lux_promedio,Biblioteca Pública Las Ferias,Julio Mario Santo Domingo,2.489405027774174e-12,-0.6576888888888889
Lux_promedio,Biblioteca Casa Gómez Campuzano,Gabriel Garcia Marquez - Tunal,1.0102369601453943e-11,0.7879166666666667
Lux_promedio,Biblioteca Julio Mario Santo Domingo,Julio Mario Santo Domingo,1.0997678990694994e-11,-0.7464
Lux_promedio,Biblioteca Pública del Deporte - CEFE Chapinero,Virgilio Barco,3.284249478216892e-11,-0.6445555555555555
Lux_promedio,Biblioteca Julio Mario Santo Domingo,Biblioteca Pública del Deporte - CEFE Chapinero,5.7266168516918934e-11,0.5388
Lux_promedio,Biblioteca Pública del Deporte - CEFE Chapinero,Luis Ángel Arango,6.026067391289271e-11,-0.8723456790123457
Lux_promedio,Biblioteca el Parque,Parque vertical CEFE,7.481255686625352e-11,-1.0
Lux_promedio,Gabriel Garcia Marquez - Tunal,Julio Mario Santo Domingo,9.339718384550476e-11,-0.6963333333333334
Lux_promedio,Biblioteca Casa Gómez Campuzano,Biblioteca Pública Virgilio Barco,1.8621054593073767e-10,0.9047619047619048
Lux_promedio,Biblioteca Pública Las Ferias,Parque vertical CEFE,5.079955498407658e-10,-0.7906172839506173
Lux_promedio,Biblioteca Pública del Deporte - CEFE Chapinero,FRANCISCO JOSE DE CALDAS,5.165667087255928e-10,-0.7991111111111111
Lux_promedio,Gabriel Garcia Marquez - Tunal,Parque vertical CEFE,5.620870599593431e-10,-0.85
Lux_promedio,Biblioteca Casa Gómez Campuzano,Biblioteca Pública Las Ferias,3.5459369555189248e-09,0.6310555555555556
